  disasm                           seq_num  
ldrls pc, [pc, r3 LSL #2]            1200
ldr r3, [r0, #-4]                    1222
orr r2, r2, #4                       1223
eor r1, r1, r3                       1224
ldr r3, [r0] #8                      1225
addi_uop r0, r0, #8                  1226
cmps r3, #0                          1227
bne                                  1228
sub r3, r3, #3                       1282
cmps r3, #30                         1283
ldrls pc, [pc, r3 LSL #2]            1284
ldr r3, [r0, #-4]                    1314
orr r2, r2, #8                       1315
eor r1, r1, r3                       1316
ldr r3, [r0] #8                      1317
addi_uop r0, r0, #8                  1318
cmps r3, #0                          1319
bne                                  1320
b                                    1321
ldr r3, [pc, #360]                   1328
cmps r2, #15                         1329
ldr r2, [pc, #360]                   1330
str r5, [r3, #0]                     1331
ldr r3, [sp, #4]                     1332
str r6, [r4, #4]                     1333
str r3, [r2, #0]                     1334
ldr r2, [pc, #344]                   1335
ldr r3, [pc, #344]                   1336
str fp, [r2, #0]                     1337
str r9, [r3, #0]                     1338
ldr r2, [pc, #336]                   1339
ldr r3, [pc, #336]                   1340
str r10, [r2, #0]                    1341
str r8, [r3, #0]                     1342
ldr r2, [pc, #328]                   1343
ldr r3, [sp, #0]                     1344
str r7, [r2, #0]                     1345
str r3, [r4, #0]                     1346
bne                                  1347
add sp, sp, #8                       1348
ldr2_uop r4,r5, [sp, #0]             1349
ldr2_uop r6,r7, [sp, #8]             1350
ldr2_uop r8,r9, [sp, #16]            1351
ldr2_uop r10,fp, [sp, #24]           1352
addi_uop sp, sp, #32                 1353
bx                                   1354
ldr r3, [pc, #552]                   1355
ldr r2, [r3, #0]                     1356
cmps r2, #0                          1357
bne                                  1358
bl                                   1359
str_uop r4, [sp, #16]                1360
str_uop r5, [sp, #12]                1361
str_uop r6, [sp, #8]                 1362
str_uop lr, [sp, #4]                 1363
subi_uop sp, sp, #16                 1364
sub sp, sp, #456                     1365
add r0, sp, #4                       1366
sub r0, r0, #2                       1367
bl                                   1368
mov r12, r7                          1369
mov r7, #122                         1370
mov r7, r12                          1395
cmns r0, #4096                       1396
bxcc                                 1397
cmps r0, #0                          1398
addeq r1, sp, #132                   1399
bne                                  1400
mov r0, #0                           1401
mov r12, r1                          1402
mov lr, r0                           1403
ldrb r3, [r12, #0]                   1404
sub r3, r3, #48                      1405
and r2, r3, #255                     1406
cmps r2, #9                          1407
bhi                                  1408
ldrb r1, [r12, #1]                   1409
mov r2, r3                           1410
sub r3, r1, #48                      1411
cmps r3, #9                          1412
add r12, r12, #1                     1413
bhi                                  1414
cmps r1, #46                         1533
orr r0, r2, r0, LSL #8               1534
add lr, lr, #1                       1535
bne                                  1536
cmps lr, #3                          1537
beq                                  1538
add r12, r12, #1                     1539
b                                    1540
ldrb r3, [r12, #0]                   1541
sub r3, r3, #48                      1542
and r2, r3, #255                     1543
cmps r2, #9                          1544
bhi                                  1545
ldrb r1, [r12, #1]                   1546
mov r2, r3                           1547
sub r3, r1, #48                      1548
cmps r3, #9                          1549
add r12, r12, #1                     1550
bhi                                  1551
mov r3, r2, LSL #3                   1556
mov r2, r2, LSL #1                   1557
add r2, r2, r3                       1558
add r2, r2, r1                       1559
ldrb r1, [r12, #1]!                  1560
addi_uop r12, r12, #1                1561
sub r2, r2, #48                      1562
sub r3, r1, #48                      1563
cmps r3, #9                          1564
bls                                  1565
cmps r1, #46                         1566
orr r0, r2, r0, LSL #8               1567
add lr, lr, #1                       1568
bne                                  1569
cmps lr, #3                          1570
beq                                  1571
add r12, r12, #1                     1572
b                                    1573
ldrb r3, [r12, #0]                   1574
sub r3, r3, #48                      1575
and r2, r3, #255                     1576
cmps r2, #9                          1577
bhi                                  1578
ldrb r1, [r12, #1]                   1579
mov r2, r3                           1580
sub r3, r1, #48                      1581
cmps r3, #9                          1582
add r12, r12, #1                     1583
bhi                                  1584
cmps r1, #46                         1599
orr r0, r2, r0, LSL #8               1600
add lr, lr, #1                       1601
bne                                  1602
cmps lr, #2                          1603
rsble r3, lr, #3                     1604
movle r3, r3, LSL #3                 1605
movle r0, r0, LSL r3                 1606
b                                    1607
add sp, sp, #456                     1613
ldr2_uop r4,r5, [sp, #0]             1614
ldr2_uop r6,r36, [sp, #8]            1615
addi_uop sp, sp, #16                 1616
uopReg_uop pc, r36                   1617
cmps r0, #0                          1618
blt                                  1619
ldr r3, [pc, #532]                   1620
ldr r3, [r3, #0]                     1621
cmps r3, #0                          1622
moveq r2, r0                         1623
bne                                  1624
ldr r3, [pc, #512]                   1625
str r2, [r3, #0]                     1626
ldr r3, [pc, #508]                   1627
cmps r0, r3                          1628
ble                                  1629
bl                                   1630
mov r0, #8                           1636
mov r1, #16                          1637
b                                    1638
ldr r3, [pc, #508]                   1650
str_uop r4, [sp, #36]                1651
str_uop r5, [sp, #32]                1652
str_uop r6, [sp, #28]                1653
str_uop r7, [sp, #24]                1654
str_uop r8, [sp, #20]                1655
str_uop r9, [sp, #16]                1656
str_uop r10, [sp, #12]               1657
str_uop fp, [sp, #8]                 1658
str_uop lr, [sp, #4]                 1659
subi_uop sp, sp, #36                 1660
mov r6, r1                           1661
ldr r1, [r3, #0]                     1662
sub sp, sp, #20                      1663
cmps r1, #0                          1664
mov lr, r0                           1665
beq                                  1666
ldr r2, [pc, #480]                   1667
ldr r3, [r2, #0]                     1668
mov r3, r3, LSL #5                   1669
add r2, r1, r3                       1670
cmps r1, r2                          1671
bcc                                  1672
ldr r3, [r1, #0]                     1684
cmps r3, #7                          1685
bne                                  1686
add r1, r1, #32                      1707
cmps r1, r2                          1708
bcs                                  1709
ldr r3, [r1, #0]                     1710
cmps r3, #7                          1711
bne                                  1712
add r1, r1, #32                      1727
cmps r1, r2                          1728
bcs                                  1729
ldr r3, [r1, #0]                     1730
cmps r3, #7                          1731
bne                                  1732
add r1, r1, #32                      1733
cmps r1, r2                          1734
bcs                                  1735
ldr r3, [r1, #0]                     1736
cmps r3, #7                          1737
bne                                  1738
add r1, r1, #32                      1739
cmps r1, r2                          1740
bcs                                  1741
ldr r3, [r1, #0]                     1742
cmps r3, #7                          1743
bne                                  1744
ldr r4, [r1, #28]                    1802
ldr r2, [r1, #16]                    1803
ldr r8, [r1, #20]                    1804
ldr r1, [r1, #8]                     1805
cmps r6, r4                          1806
movcc r6, r4                         1807
cmps r4, #0                          1808
str r2, [sp, #8]                     1809
str r1, [sp, #12]                    1810
beq                                  1811
sub r0, r4, #1                       1812
add r0, r0, lr                       1813
mov r1, r4                           1814
bl                                   1815
subs r2, r1, #1                      1816
bxeq                                 1817
bcc                                  1842
cmps r0, r1                          1843
bls                                  1844
tsts r1, r2                          1845
beq                                  1846
clz r2, r1                           1847
rsb r2, r2, #31                      1848
mov r0, r0, LSR r2                   1849
bx                                   1850
mov r10, r4                          1851
mov lr, r0                           1852
b                                    1853
ldr r3, [pc, #344]                   1854
mul                                  1855
ldr r5, [pc, #340]                   1856
ldr r0, [r3, #0]                     1857
ldr r9, [pc, #336]                   1858
add r0, r0, #1184                    1859
add r0, r0, r8                       1860
add r0, r0, r6                       1861
add r0, r0, fp                       1862
bl                                   1863
str_uop r4, [sp, #12]                1864
str_uop r5, [sp, #8]                 1865
str_uop lr, [sp, #4]                 1866
subi_uop sp, sp, #12                 1867
ldr r4, [pc, #104]                   1868
sub sp, sp, #4                       1869
mov r5, r0                           1870
ldr r3, [r4, #0]                     1871
cmps r3, #0                          1872
beq                                  1873
mov r0, #0                           1920
bl                                   1921
str_uop r4, [sp, #12]                1929
str_uop r7, [sp, #8]                 1930
str_uop lr, [sp, #4]                 1931
subi_uop sp, sp, #12                 1932
mov r4, r0                           1933
mov r7, #45                          1934
cmns r0, #4096                       1939
mov r3, r0                           1940
movls r1, r0                         1941
bhi                                  1942
ldr r3, [pc, #76]                    1943
cmps r4, r1                          1944
str r1, [r3, #0]                     1945
movls r1, #0                         1946
bhi                                  1947
mov r0, r1                           1948
ldr2_uop r4,r7, [sp, #0]             1949
ldr_uop r36, [sp, #8]                1950
addi_uop sp, sp, #12                 1951
uopReg_uop pc, r36                   1952
cmps r0, #0                          1953
bge                                  1954
cmps r5, #0                          1966
ldreq r4, [r4, #0]                   1967
bne                                  1968
ldr r4, [r4, #0]                     2022
add r0, r4, r5                       2023
bl                                   2024
str_uop r4, [sp, #12]                2025
str_uop r7, [sp, #8]                 2026
str_uop lr, [sp, #4]                 2027
subi_uop sp, sp, #12                 2028
mov r4, r0                           2029
mov r7, #45                          2030
cmns r0, #4096                       2075
mov r3, r0                           2076
movls r1, r0                         2077
bhi                                  2078
ldr r3, [pc, #76]                    2079
cmps r4, r1                          2080
str r1, [r3, #0]                     2081
movls r1, #0                         2082
bhi                                  2083
mov r0, r1                           2084
ldr2_uop r4,r7, [sp, #0]             2085
ldr_uop r36, [sp, #8]                2086
addi_uop sp, sp, #12                 2087
uopReg_uop pc, r36                   2088
cmps r0, #0                          2089
bge                                  2090
mov r0, r4                           2107
add sp, sp, #4                       2108
ldr2_uop r4,r5, [sp, #0]             2109
ldr_uop r36, [sp, #8]                2110
addi_uop sp, sp, #12                 2111
uopReg_uop pc, r36                   2112
ldr r1, [sp, #12]                    2113
str fp, [r9, #564]                   2114
rsb r2, r6, #0                       2115
mov r3, #62                          2116
