  disasm                           seq_num  
str_uop r6, [sp, #20]                3826
str_uop r7, [sp, #16]                3827
str_uop r8, [sp, #12]                3828
str_uop r10, [sp, #8]                3829
str_uop lr, [sp, #4]                 3830
subi_uop sp, sp, #28                 3831
mov r1, lr                           3832
ldr r4, [r3, #0]                     3833
sub sp, sp, #4                       3834
cmps r4, #0                          3835
mov r6, r0                           3836
beq                                  3837
ldr r3, [pc, #784]                   3875
bl                                   3876
mvn r0, #61440                       3879
sub pc, r0, #31                      3880
mrc r0, tpidruro                     3919
mov pc, lr                           3920
ldr r3, [pc, r3]                     3921
ldr r7, [r0, r3]                     3922
cmps r7, #0                          3923
beq                                  3924
mov r1, #1                           3925
mov r2, r7                           3926
ldr r3, [r2, #0]                     3927
cmps r3, r4                          3928
bne                                  3929
mov r0, r4                           3930
mvn r3, #61440                       3931
mov lr, pc                           3932
sub pc, r3, #63                      3933
ldrex r3, [r2, #0]                   3939
subs r3, r3, r0                      3940
strexeq r3, r1, [r2, #0]             3941
teqseq r3, #1                        3942
beq                                  3943
rsbs r0, r3, #0                      3944
dmb #0                               3945
mov pc, lr                           3946
bcc                                  3995
mov r3, r4                           3996
cmps r3, #0                          3997
beq                                  3998
mov r0, r7                           4000
mov r1, r6                           4001
bl                                   4002
str_uop r4, [sp, #36]                4011
str_uop r5, [sp, #32]                4012
str_uop r6, [sp, #28]                4013
str_uop r7, [sp, #24]                4014
str_uop r8, [sp, #20]                4015
str_uop r9, [sp, #16]                4016
str_uop r10, [sp, #12]               4017
str_uop fp, [sp, #8]                 4018
str_uop lr, [sp, #4]                 4019
subi_uop sp, sp, #36                 4020
cmns r1, #33                         4021
sub sp, sp, #44                      4022
mov r8, r0                           4023
str r1, [sp, #16]                    4024
bhi                                  4025
ldr r1, [sp, #16]                    4026
ldr r3, [pc, #3608]                  4027
add r0, r1, #11                      4028
cmps r0, #15                         4029
ldr r2, [r3, #0]                     4030
movls r10, #16                       4031
bichi r10, r0, #7                    4032
cmps r10, r2                         4033
movhi r2, r10, LSR #3                4034
strhi r2, [sp, #12]                  4035
bhi                                  4036
cmps r10, #512                       4044
bcs                                  4045
ldr r5, [sp, #12]                    4046
add r9, r8, #56                      4047
mov r3, r5, LSL #3                   4048
sub r3, r3, #16                      4049
add r4, r9, r3                       4050
str r5, [sp, #20]                    4051
ldr r12, [r4, #12]                   4052
cmps r12, r4                         4053
beq                                  4054
cmps r12, #0                         4055
beq                                  4056
mov r0, r8                           4116
bl                                   4117
ldr r12, [pc, #684]                  4123
str_uop r4, [sp, #36]                4124
str_uop r5, [sp, #32]                4125
str_uop r6, [sp, #28]                4126
str_uop r7, [sp, #24]                4127
str_uop r8, [sp, #20]                4128
str_uop r9, [sp, #16]                4129
str_uop r10, [sp, #12]               4130
str_uop fp, [sp, #8]                 4131
str_uop lr, [sp, #4]                 4132
subi_uop sp, sp, #36                 4133
mov r10, r0                          4134
ldr r3, [r12, #0]                    4135
sub sp, sp, #12                      4136
cmps r3, #0                          4137
addeq r3, r0, #56                    4138
addeq r1, r0, #48                    4139
addeq r3, r3, #1008                  4140
moveq r2, r1                         4141
beq                                  4142
str r2, [r2, #12]                    4159
str r2, [r2, #8]                     4160
add r2, r2, #8                       4161
cmps r2, r3                          4162
bne                                  4163
str r2, [r2, #12]                    4171
str r2, [r2, #8]                     4172
add r2, r2, #8                       4173
cmps r2, r3                          4174
bne                                  4175
str r2, [r2, #12]                    4176
str r2, [r2, #8]                     4177
add r2, r2, #8                       4178
cmps r2, r3                          4179
bne                                  4180
str r2, [r2, #12]                    4181
str r2, [r2, #8]                     4182
add r2, r2, #8                       4183
cmps r2, r3                          4184
bne                                  4185
str r2, [r2, #12]                    4186
str r2, [r2, #8]                     4187
add r2, r2, #8                       4188
cmps r2, r3                          4189
bne                                  4190
str r2, [r2, #12]                    4198
str r2, [r2, #8]                     4199
add r2, r2, #8                       4200
cmps r2, r3                          4201
bne                                  4202
str r2, [r2, #12]                    4203
str r2, [r2, #8]                     4204
add r2, r2, #8                       4205
cmps r2, r3                          4206
bne                                  4207
str r2, [r2, #12]                    4208
str r2, [r2, #8]                     4209
add r2, r2, #8                       4210
cmps r2, r3                          4211
bne                                  4212
str r2, [r2, #12]                    4213
str r2, [r2, #8]                     4214
add r2, r2, #8                       4215
cmps r2, r3                          4216
bne                                  4217
str r2, [r2, #12]                    4225
str r2, [r2, #8]                     4226
add r2, r2, #8                       4227
cmps r2, r3                          4228
bne                                  4229
str r2, [r2, #12]                    4237
str r2, [r2, #8]                     4238
add r2, r2, #8                       4239
cmps r2, r3                          4240
bne                                  4241
str r2, [r2, #12]                    4242
str r2, [r2, #8]                     4243
add r2, r2, #8                       4244
cmps r2, r3                          4245
bne                                  4246
str r2, [r2, #12]                    4247
str r2, [r2, #8]                     4248
add r2, r2, #8                       4249
cmps r2, r3                          4250
bne                                  4251
str r2, [r2, #12]                    4252
str r2, [r2, #8]                     4253
add r2, r2, #8                       4254
cmps r2, r3                          4255
bne                                  4256
str r2, [r2, #12]                    4257
str r2, [r2, #8]                     4258
add r2, r2, #8                       4259
cmps r2, r3                          4260
bne                                  4261
str r2, [r2, #12]                    4262
str r2, [r2, #8]                     4263
add r2, r2, #8                       4264
cmps r2, r3                          4265
bne                                  4266
str r2, [r2, #12]                    4267
str r2, [r2, #8]                     4268
add r2, r2, #8                       4269
cmps r2, r3                          4270
bne                                  4271
str r2, [r2, #12]                    4272
str r2, [r2, #8]                     4273
add r2, r2, #8                       4274
cmps r2, r3                          4275
bne                                  4276
str r2, [r2, #12]                    4277
str r2, [r2, #8]                     4278
add r2, r2, #8                       4279
cmps r2, r3                          4280
bne                                  4281
str r2, [r2, #12]                    4282
str r2, [r2, #8]                     4283
add r2, r2, #8                       4284
cmps r2, r3                          4285
bne                                  4286
str r2, [r2, #12]                    4287
str r2, [r2, #8]                     4288
add r2, r2, #8                       4289
cmps r2, r3                          4290
bne                                  4291
str r2, [r2, #12]                    4292
str r2, [r2, #8]                     4293
add r2, r2, #8                       4294
cmps r2, r3                          4295
bne                                  4296
str r2, [r2, #12]                    4297
str r2, [r2, #8]                     4298
add r2, r2, #8                       4299
cmps r2, r3                          4300
bne                                  4301
str r2, [r2, #12]                    4302
str r2, [r2, #8]                     4303
add r2, r2, #8                       4304
cmps r2, r3                          4305
bne                                  4306
str r2, [r2, #12]                    4307
str r2, [r2, #8]                     4308
add r2, r2, #8                       4309
cmps r2, r3                          4310
bne                                  4311
str r2, [r2, #12]                    4312
str r2, [r2, #8]                     4313
add r2, r2, #8                       4314
cmps r2, r3                          4315
bne                                  4316
str r2, [r2, #12]                    4317
str r2, [r2, #8]                     4318
add r2, r2, #8                       4319
cmps r2, r3                          4320
bne                                  4321
str r2, [r2, #12]                    4322
str r2, [r2, #8]                     4323
add r2, r2, #8                       4324
cmps r2, r3                          4325
bne                                  4326
str r2, [r2, #12]                    4327
str r2, [r2, #8]                     4328
add r2, r2, #8                       4329
cmps r2, r3                          4330
bne                                  4331
str r2, [r2, #12]                    4332
str r2, [r2, #8]                     4333
add r2, r2, #8                       4334
cmps r2, r3                          4335
bne                                  4336
str r2, [r2, #12]                    4337
str r2, [r2, #8]                     4338
add r2, r2, #8                       4339
cmps r2, r3                          4340
bne                                  4341
str r2, [r2, #12]                    4342
str r2, [r2, #8]                     4343
add r2, r2, #8                       4344
cmps r2, r3                          4345
bne                                  4346
str r2, [r2, #12]                    4347
str r2, [r2, #8]                     4348
add r2, r2, #8                       4349
cmps r2, r3                          4350
bne                                  4351
str r2, [r2, #12]                    4352
str r2, [r2, #8]                     4353
add r2, r2, #8                       4354
cmps r2, r3                          4355
bne                                  4356
str r2, [r2, #12]                    4357
str r2, [r2, #8]                     4358
add r2, r2, #8                       4359
cmps r2, r3                          4360
bne                                  4361
str r2, [r2, #12]                    4362
str r2, [r2, #8]                     4363
add r2, r2, #8                       4364
cmps r2, r3                          4365
bne                                  4366
str r2, [r2, #12]                    4367
str r2, [r2, #8]                     4368
add r2, r2, #8                       4369
cmps r2, r3                          4370
bne                                  4371
str r2, [r2, #12]                    4372
str r2, [r2, #8]                     4373
add r2, r2, #8                       4374
cmps r2, r3                          4375
bne                                  4376
str r2, [r2, #12]                    4377
str r2, [r2, #8]                     4378
add r2, r2, #8                       4379
cmps r2, r3                          4380
bne                                  4381
str r2, [r2, #12]                    4382
str r2, [r2, #8]                     4383
add r2, r2, #8                       4384
cmps r2, r3                          4385
bne                                  4386
str r2, [r2, #12]                    4387
str r2, [r2, #8]                     4388
add r2, r2, #8                       4389
cmps r2, r3                          4390
bne                                  4391
str r2, [r2, #12]                    4392
str r2, [r2, #8]                     4393
add r2, r2, #8                       4394
cmps r2, r3                          4395
bne                                  4396
str r2, [r2, #12]                    4397
str r2, [r2, #8]                     4398
add r2, r2, #8                       4399
cmps r2, r3                          4400
bne                                  4401
str r2, [r2, #12]                    4402
str r2, [r2, #8]                     4403
add r2, r2, #8                       4404
cmps r2, r3                          4405
bne                                  4406
str r2, [r2, #12]                    4407
str r2, [r2, #8]                     4408
add r2, r2, #8                       4409
cmps r2, r3                          4410
bne                                  4411
str r2, [r2, #12]                    4412
str r2, [r2, #8]                     4413
add r2, r2, #8                       4414
cmps r2, r3                          4415
bne                                  4416
str r2, [r2, #12]                    4417
str r2, [r2, #8]                     4418
add r2, r2, #8                       4419
cmps r2, r3                          4420
bne                                  4421
str r2, [r2, #12]                    4422
str r2, [r2, #8]                     4423
add r2, r2, #8                       4424
cmps r2, r3                          4425
bne                                  4426
str r2, [r2, #12]                    4427
str r2, [r2, #8]                     4428
add r2, r2, #8                       4429
cmps r2, r3                          4430
bne                                  4431
str r2, [r2, #12]                    4432
str r2, [r2, #8]                     4433
add r2, r2, #8                       4434
cmps r2, r3                          4435
bne                                  4436
str r2, [r2, #12]                    4437
str r2, [r2, #8]                     4438
add r2, r2, #8                       4439
cmps r2, r3                          4440
bne                                  4441
str r2, [r2, #12]                    4442
str r2, [r2, #8]                     4443
add r2, r2, #8                       4444
cmps r2, r3                          4445
bne                                  4446
str r2, [r2, #12]                    4447
str r2, [r2, #8]                     4448
add r2, r2, #8                       4449
cmps r2, r3                          4450
bne                                  4451
str r2, [r2, #12]                    4452
str r2, [r2, #8]                     4453
add r2, r2, #8                       4454
cmps r2, r3                          4455
bne                                  4456
str r2, [r2, #12]                    4457
str r2, [r2, #8]                     4458
add r2, r2, #8                       4459
cmps r2, r3                          4460
bne                                  4461
str r2, [r2, #12]                    4462
str r2, [r2, #8]                     4463
add r2, r2, #8                       4464
cmps r2, r3                          4465
bne                                  4466
str r2, [r2, #12]                    4467
str r2, [r2, #8]                     4468
add r2, r2, #8                       4469
cmps r2, r3                          4470
bne                                  4471
str r2, [r2, #12]                    4472
str r2, [r2, #8]                     4473
add r2, r2, #8                       4474
cmps r2, r3                          4475
bne                                  4476
str r2, [r2, #12]                    4477
str r2, [r2, #8]                     4478
add r2, r2, #8                       4479
cmps r2, r3                          4480
bne                                  4481
str r2, [r2, #12]                    4482
str r2, [r2, #8]                     4483
add r2, r2, #8                       4484
cmps r2, r3                          4485
bne                                  4486
str r2, [r2, #12]                    4487
str r2, [r2, #8]                     4488
add r2, r2, #8                       4489
cmps r2, r3                          4490
bne                                  4491
str r2, [r2, #12]                    4492
str r2, [r2, #8]                     4493
add r2, r2, #8                       4494
cmps r2, r3                          4495
bne                                  4496
str r2, [r2, #12]                    4497
str r2, [r2, #8]                     4498
add r2, r2, #8                       4499
cmps r2, r3                          4500
bne                                  4501
str r2, [r2, #12]                    4502
str r2, [r2, #8]                     4503
add r2, r2, #8                       4504
cmps r2, r3                          4505
bne                                  4506
str r2, [r2, #12]                    4507
str r2, [r2, #8]                     4508
add r2, r2, #8                       4509
cmps r2, r3                          4510
bne                                  4511
str r2, [r2, #12]                    4512
str r2, [r2, #8]                     4513
add r2, r2, #8                       4514
cmps r2, r3                          4515
bne                                  4516
str r2, [r2, #12]                    4517
str r2, [r2, #8]                     4518
add r2, r2, #8                       4519
cmps r2, r3                          4520
bne                                  4521
str r2, [r2, #12]                    4522
str r2, [r2, #8]                     4523
add r2, r2, #8                       4524
cmps r2, r3                          4525
bne                                  4526
str r2, [r2, #12]                    4527
str r2, [r2, #8]                     4528
add r2, r2, #8                       4529
cmps r2, r3                          4530
bne                                  4531
str r2, [r2, #12]                    4532
str r2, [r2, #8]                     4533
add r2, r2, #8                       4534
cmps r2, r3                          4535
bne                                  4536
str r2, [r2, #12]                    4537
str r2, [r2, #8]                     4538
add r2, r2, #8                       4539
cmps r2, r3                          4540
bne                                  4541
str r2, [r2, #12]                    4542
str r2, [r2, #8]                     4543
add r2, r2, #8                       4544
cmps r2, r3                          4545
bne                                  4546
str r2, [r2, #12]                    4547
str r2, [r2, #8]                     4548
add r2, r2, #8                       4549
cmps r2, r3                          4550
bne                                  4551
str r2, [r2, #12]                    4552
str r2, [r2, #8]                     4553
add r2, r2, #8                       4554
cmps r2, r3                          4555
bne                                  4556
str r2, [r2, #12]                    4557
str r2, [r2, #8]                     4558
add r2, r2, #8                       4559
cmps r2, r3                          4560
bne                                  4561
str r2, [r2, #12]                    4562
str r2, [r2, #8]                     4563
add r2, r2, #8                       4564
cmps r2, r3                          4565
bne                                  4566
str r2, [r2, #12]                    4567
str r2, [r2, #8]                     4568
add r2, r2, #8                       4569
cmps r2, r3                          4570
bne                                  4571
str r2, [r2, #12]                    4572
str r2, [r2, #8]                     4573
add r2, r2, #8                       4574
cmps r2, r3                          4575
bne                                  4576
str r2, [r2, #12]                    4577
str r2, [r2, #8]                     4578
add r2, r2, #8                       4579
cmps r2, r3                          4580
bne                                  4581
str r2, [r2, #12]                    4582
str r2, [r2, #8]                     4583
add r2, r2, #8                       4584
cmps r2, r3                          4585
bne                                  4586
str r2, [r2, #12]                    4587
str r2, [r2, #8]                     4588
add r2, r2, #8                       4589
cmps r2, r3                          4590
bne                                  4591
str r2, [r2, #12]                    4592
str r2, [r2, #8]                     4593
add r2, r2, #8                       4594
cmps r2, r3                          4595
bne                                  4596
str r2, [r2, #12]                    4597
str r2, [r2, #8]                     4598
add r2, r2, #8                       4599
cmps r2, r3                          4600
bne                                  4601
str r2, [r2, #12]                    4602
str r2, [r2, #8]                     4603
add r2, r2, #8                       4604
cmps r2, r3                          4605
bne                                  4606
str r2, [r2, #12]                    4607
str r2, [r2, #8]                     4608
add r2, r2, #8                       4609
cmps r2, r3                          4610
bne                                  4611
str r2, [r2, #12]                    4612
str r2, [r2, #8]                     4613
add r2, r2, #8                       4614
cmps r2, r3                          4615
bne                                  4616
str r2, [r2, #12]                    4617
str r2, [r2, #8]                     4618
add r2, r2, #8                       4619
cmps r2, r3                          4620
bne                                  4621
str r2, [r2, #12]                    4622
str r2, [r2, #8]                     4623
add r2, r2, #8                       4624
cmps r2, r3                          4625
bne                                  4626
str r2, [r2, #12]                    4627
str r2, [r2, #8]                     4628
add r2, r2, #8                       4629
cmps r2, r3                          4630
bne                                  4631
str r2, [r2, #12]                    4632
str r2, [r2, #8]                     4633
add r2, r2, #8                       4634
cmps r2, r3                          4635
bne                                  4636
str r2, [r2, #12]                    4637
str r2, [r2, #8]                     4638
add r2, r2, #8                       4639
cmps r2, r3                          4640
bne                                  4641
str r2, [r2, #12]                    4642
str r2, [r2, #8]                     4643
add r2, r2, #8                       4644
cmps r2, r3                          4645
bne                                  4646
str r2, [r2, #12]                    4647
str r2, [r2, #8]                     4648
add r2, r2, #8                       4649
cmps r2, r3                          4650
bne                                  4651
str r2, [r2, #12]                    4652
str r2, [r2, #8]                     4653
add r2, r2, #8                       4654
cmps r2, r3                          4655
bne                                  4656
str r2, [r2, #12]                    4657
str r2, [r2, #8]                     4658
add r2, r2, #8                       4659
cmps r2, r3                          4660
bne                                  4661
str r2, [r2, #12]                    4662
str r2, [r2, #8]                     4663
add r2, r2, #8                       4664
cmps r2, r3                          4665
bne                                  4666
str r2, [r2, #12]                    4667
str r2, [r2, #8]                     4668
add r2, r2, #8                       4669
cmps r2, r3                          4670
bne                                  4671
str r2, [r2, #12]                    4672
str r2, [r2, #8]                     4673
add r2, r2, #8                       4674
cmps r2, r3                          4675
bne                                  4676
str r2, [r2, #12]                    4677
str r2, [r2, #8]                     4678
add r2, r2, #8                       4679
cmps r2, r3                          4680
bne                                  4681
str r2, [r2, #12]                    4682
str r2, [r2, #8]                     4683
add r2, r2, #8                       4684
cmps r2, r3                          4685
bne                                  4686
str r2, [r2, #12]                    4687
str r2, [r2, #8]                     4688
add r2, r2, #8                       4689
cmps r2, r3                          4690
bne                                  4691
str r2, [r2, #12]                    4692
str r2, [r2, #8]                     4693
add r2, r2, #8                       4694
cmps r2, r3                          4695
bne                                  4696
str r2, [r2, #12]                    4697
str r2, [r2, #8]                     4698
add r2, r2, #8                       4699
cmps r2, r3                          4700
bne                                  4701
str r2, [r2, #12]                    4702
str r2, [r2, #8]                     4703
add r2, r2, #8                       4704
cmps r2, r3                          4705
bne                                  4706
str r2, [r2, #12]                    4707
str r2, [r2, #8]                     4708
add r2, r2, #8                       4709
cmps r2, r3                          4710
bne                                  4711
str r2, [r2, #12]                    4712
str r2, [r2, #8]                     4713
add r2, r2, #8                       4714
cmps r2, r3                          4715
bne                                  4716
str r2, [r2, #12]                    4717
str r2, [r2, #8]                     4718
add r2, r2, #8                       4719
cmps r2, r3                          4720
bne                                  4721
str r2, [r2, #12]                    4722
str r2, [r2, #8]                     4723
add r2, r2, #8                       4724
cmps r2, r3                          4725
bne                                  4726
str r2, [r2, #12]                    4727
str r2, [r2, #8]                     4728
add r2, r2, #8                       4729
cmps r2, r3                          4730
bne                                  4731
str r2, [r2, #12]                    4732
str r2, [r2, #8]                     4733
add r2, r2, #8                       4734
cmps r2, r3                          4735
bne                                  4736
str r2, [r2, #12]                    4737
str r2, [r2, #8]                     4738
add r2, r2, #8                       4739
cmps r2, r3                          4740
bne                                  4741
str r2, [r2, #12]                    4742
str r2, [r2, #8]                     4743
add r2, r2, #8                       4744
cmps r2, r3                          4745
bne                                  4746
str r2, [r2, #12]                    4747
str r2, [r2, #8]                     4748
add r2, r2, #8                       4749
cmps r2, r3                          4750
bne                                  4751
str r2, [r2, #12]                    4752
str r2, [r2, #8]                     4753
add r2, r2, #8                       4754
cmps r2, r3                          4755
bne                                  4756
str r2, [r2, #12]                    4757
str r2, [r2, #8]                     4758
add r2, r2, #8                       4759
cmps r2, r3                          4760
bne                                  4761
str r2, [r2, #12]                    4762
str r2, [r2, #8]                     4763
add r2, r2, #8                       4764
cmps r2, r3                          4765
bne                                  4766
str r2, [r2, #12]                    4767
str r2, [r2, #8]                     4768
add r2, r2, #8                       4769
cmps r2, r3                          4770
bne                                  4771
str r2, [r2, #12]                    4772
str r2, [r2, #8]                     4773
add r2, r2, #8                       4774
cmps r2, r3                          4775
bne                                  4776
str r2, [r2, #12]                    4777
str r2, [r2, #8]                     4778
add r2, r2, #8                       4779
cmps r2, r3                          4780
bne                                  4781
str r2, [r2, #12]                    4782
str r2, [r2, #8]                     4783
add r2, r2, #8                       4784
cmps r2, r3                          4785
bne                                  4786
str r2, [r2, #12]                    4787
str r2, [r2, #8]                     4788
add r2, r2, #8                       4789
cmps r2, r3                          4790
bne                                  4791
str r2, [r2, #12]                    4792
str r2, [r2, #8]                     4793
add r2, r2, #8                       4794
cmps r2, r3                          4795
bne                                  4796
str r2, [r2, #12]                    4797
str r2, [r2, #8]                     4798
add r2, r2, #8                       4799
cmps r2, r3                          4800
bne                                  4801
str r2, [r2, #12]                    4802
str r2, [r2, #8]                     4803
add r2, r2, #8                       4804
cmps r2, r3                          4805
bne                                  4806
str r2, [r2, #12]                    4807
str r2, [r2, #8]                     4808
add r2, r2, #8                       4809
cmps r2, r3                          4810
bne                                  4811
str r2, [r2, #12]                    4812
str r2, [r2, #8]                     4813
add r2, r2, #8                       4814
cmps r2, r3                          4815
bne                                  4816
str r2, [r2, #12]                    4817
str r2, [r2, #8]                     4818
add r2, r2, #8                       4819
cmps r2, r3                          4820
bne                                  4821
ldr r3, [pc, #356]                   4892
str r1, [r10, #48]                   4893
cmps r10, r3                         4894
moveq r3, #72                        4895
ldrne r2, [r10, #4]                  4896
ldreq r2, [r10, #4]                  4897
orrne r2, r2, #2                     4898
streq r3, [r12, #0]                  4899
strne r2, [r10, #4]                  4900
orr r3, r2, #1                       4901
str r3, [r10, #4]                    4902
add sp, sp, #12                      4903
ldr2_uop r4,r5, [sp, #0]             4904
ldr2_uop r6,r7, [sp, #8]             4905
ldr2_uop r8,r9, [sp, #16]            4906
ldr2_uop r10,fp, [sp, #24]           4907
ldr_uop r36, [sp, #32]               4908
addi_uop sp, sp, #36                 4909
uopReg_uop pc, r36                   4910
b                                    4911
ldr fp, [pc, #3244]                  4916
add r6, r8, #48                      4917
add r1, r10, #16                     4918
mov r7, #0                           4919
str r1, [sp, #8]                     4920
b                                    4921
ldr r4, [r6, #12]                    4935
cmps r6, r4                          4936
beq                                  4937
cmps r10, fp                         4943
bhi                                  4944
ldr r1, [sp, #20]                    4945
add r3, r1, #1                       4946
and r2, r3, #31                      4947
mov r12, r3, LSR #5                  4948
mov r3, r3, LSL #3                   4949
sub r3, r3, #16                      4950
add r4, r12, #268                    4951
add r1, r9, r3                       4952
mov r3, #1                           4953
ldr r0, [r8, r4 LSL #2]              4954
mov r2, r3, LSL r2                   4955
rsbs r3, r2, #1                      4956
movcc r3, #0                         4957
cmps r2, r0                          4958
orrhi r3, r3, #1                     4959
cmps r3, #0                          4960
beq                                  4961
mov r3, r4, LSL #2                   4962
add r3, r8, r3                       4963
add r12, r12, #1                     4964
cmps r12, #3                         4965
bhi                                  4966
ldr r0, [r3, #4]!                    4967
addi_uop r3, r3, #4                  4968
cmps r0, #0                          4969
beq                                  4970
add r12, r12, #1                     4974
cmps r12, #3                         4975
bhi                                  4976
ldr r0, [r3, #4]!                    4977
addi_uop r3, r3, #4                  4978
cmps r0, #0                          4979
beq                                  4980
add r12, r12, #1                     4981
cmps r12, #3                         4982
bhi                                  4983
ldr r0, [r3, #4]!                    4984
addi_uop r3, r3, #4                  4985
cmps r0, #0                          4986
beq                                  4987
add r12, r12, #1                     4988
cmps r12, #3                         4989
bhi                                  4990
ldr r5, [r8, #48]                    5051
add r0, r10, #16                     5052
mov r7, r5                           5053
ldr r3, [r5, #4]                     5054
str r0, [sp, #32]                    5055
bic r3, r3, #7                       5056
cmps r3, r0                          5057
str r3, [sp, #24]                    5058
bcs                                  5059
ldr r3, [r8, #4]                     5060
tsts r3, #1                          5061
bne                                  5062
ldr r0, [pc, #1716]                  5110
ldr r3, [r0, #8]                     5111
ldr r2, [r0, #28]                    5112
cmps r10, r3                         5113
sub r2, r2, #1                       5114
str r2, [sp, #28]                    5115
bcc                                  5116
mov fp, #0                           5126
b                                    5127
ldr r3, [pc, #1596]                  5130
cmps r8, r3                          5131
beq                                  5132
ldr r0, [pc, #864]                   5138
ldr r2, [r8, #4]                     5139
ldr r3, [r0, #4]                     5140
ands r2, r2, #2                      5141
add r3, r3, #16                      5142
ldreq r1, [sp, #24]                  5143
add r3, r3, r10                      5144
ldr r0, [sp, #28]                    5145
rsbeq r3, r1, r3                     5146
add r3, r3, r0                       5147
mvn r1, r0                           5148
and r6, r3, r1                       5149
cmps r6, #0                          5150
str r1, [sp, #36]                    5151
ble                                  5152
mov r0, r6                           5153
ldr r3, [pc, #820]                   5154
mov lr, pc                           5155
ldr pc, [r3, #0]                     5156
str lr, [sp, #-4]!                   5181
subi_uop sp, sp, #4                  5182
sub sp, sp, #4                       5183
bl                                   5184
str_uop r4, [sp, #12]                5197
str_uop r5, [sp, #8]                 5198
str_uop lr, [sp, #4]                 5199
subi_uop sp, sp, #12                 5200
ldr r4, [pc, #104]                   5201
sub sp, sp, #4                       5202
mov r5, r0                           5203
ldr r3, [r4, #0]                     5204
cmps r3, #0                          5205
beq                                  5206
ldr r3, [pc, #84]                    5231
ldr r2, [r3, #0]                     5232
cmps r2, #0                          5233
bne                                  5234
cmps r5, #0                          5235
ldreq r4, [r4, #0]                   5236
bne                                  5237
ldr r4, [r4, #0]                     5238
add r0, r4, r5                       5239
bl                                   5240
str_uop r4, [sp, #12]                5241
str_uop r7, [sp, #8]                 5242
str_uop lr, [sp, #4]                 5243
subi_uop sp, sp, #12                 5244
mov r4, r0                           5245
mov r7, #45                          5246
cmns r0, #4096                       5291
mov r3, r0                           5292
movls r1, r0                         5293
bhi                                  5294
ldr r3, [pc, #76]                    5295
cmps r4, r1                          5296
str r1, [r3, #0]                     5297
movls r1, #0                         5298
bhi                                  5299
mov r0, r1                           5300
ldr2_uop r4,r7, [sp, #0]             5301
ldr_uop r36, [sp, #8]                5302
addi_uop sp, sp, #12                 5303
uopReg_uop pc, r36                   5304
cmps r0, #0                          5305
bge                                  5306
mov r0, r4                           5307
add sp, sp, #4                       5308
ldr2_uop r4,r5, [sp, #0]             5309
ldr_uop r36, [sp, #8]                5310
addi_uop sp, sp, #12                 5311
uopReg_uop pc, r36                   5312
cmns r0, #1                          5313
moveq r0, #0                         5314
add sp, sp, #4                       5315
ldr_uop r36, [sp, #0]                5316
addi_uop sp, sp, #4                  5317
uopReg_uop pc, r36                   5318
subs r4, r0, #0                      5361
beq                                  5362
ldr r3, [pc, #804]                   5363
ldr r3, [r3, #0]                     5364
cmps r3, #0                          5365
beq                                  5366
mov r9, #0                           5385
mov r1, #1                           5386
ldr r2, [pc, #752]                   5387
ldr r0, [pc, #724]                   5388
ldr r3, [r2, #44]                    5389
cmps r3, #0                          5390
moveq r3, r2                         5391
ldr r2, [r0, #1092]                  5392
streq r4, [r3, #44]                  5393
ldr r3, [sp, #24]                    5394
add lr, r6, r2                       5395
add r12, r5, r3                      5396
cmps r12, r4                         5397
movne r3, #0                         5398
andeq r3, r1, #1                     5399
cmps r3, #0                          5400
str lr, [r0, #1092]                  5401
beq                                  5402
ldr r2, [pc, #572]                   5418
ldr r3, [r2, #4]                     5419
ldr r2, [sp, #24]                    5420
mov r3, r3, LSR #1                   5421
eor r3, r3, #1                       5422
subs fp, r2, #0                      5423
movne fp, #1                         5424
and r0, r3, #1                       5425
tsts r0, fp                          5426
beq                                  5427
cmps r0, #0                          5442
bne                                  5443
cmps fp, #0                          5469
rsbne r3, r12, r4                    5470
ldrne r0, [pc, #516]                 5471
addne r3, r3, lr                     5472
ldr r2, [sp, #24]                    5473
strne r3, [r0, #1092]                5474
ands r3, r4, #7                      5475
rsbne r3, r3, #8                     5476
moveq r1, r3                         5477
movne r1, r3                         5478
add r1, r1, r2                       5479
add r2, r1, r6                       5480
ldr r0, [sp, #28]                    5481
add r2, r4, r2                       5482
addne r7, r4, r3                     5483
add r3, r2, r0                       5484
ldr r0, [sp, #36]                    5485
rsb r1, r2, r1                       5486
and r3, r3, r0                       5487
moveq r7, r4                         5488
add r4, r1, r3                       5489
ldr r6, [pc, #484]                   5490
mov r0, r4                           5491
mov lr, pc                           5492
ldr pc, [r6, #0]                     5493
str lr, [sp, #-4]!                   5497
subi_uop sp, sp, #4                  5498
sub sp, sp, #4                       5499
bl                                   5500
str_uop r4, [sp, #12]                5501
str_uop r5, [sp, #8]                 5502
str_uop lr, [sp, #4]                 5503
subi_uop sp, sp, #12                 5504
ldr r4, [pc, #104]                   5505
sub sp, sp, #4                       5506
mov r5, r0                           5507
ldr r3, [r4, #0]                     5508
cmps r3, #0                          5509
beq                                  5510
ldr r3, [pc, #84]                    5536
ldr r2, [r3, #0]                     5537
cmps r2, #0                          5538
bne                                  5539
cmps r5, #0                          5540
ldreq r4, [r4, #0]                   5541
bne                                  5542
ldr r4, [r4, #0]                     5543
add r0, r4, r5                       5544
bl                                   5545
str_uop r4, [sp, #12]                5546
str_uop r7, [sp, #8]                 5547
